addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode
충청북도 보은군 속리산면 법주사로 569-72,,33,0,A02,A0201,A02010800,482195,12,20080223013432,,,127.8466768564,36.5485984627,6,20211208200220,20653,3,,탈골암(충북),28908
충청북도 보은군 속리산면 사내1길 407,,33,0,A02,A0201,A02010800,337440,12,20071218010114,,,127.8315891076,36.5560584459,6,20211113002931,19095,3,,여적암(보은),28908
충청북도 보은군 속리산면 법주사로 379,(속리산면),33,0,A02,A0201,A02010800,319698,12,20071208002104,,,127.8326199760,36.5415462369,6,20220722150023,20480,3,,수정암(충북),28908
충청북도 보은군 법주사로 702-5 복천암,,33,0,A02,A0201,A02010800,316293,12,20071204010351,,,127.8528678912,36.5514038103,6,20220610164215,20502,3,,복천암(보은),28908
충청북도 보은군 속리산면 법주사로 293,(속리산면),33,0,A02,A0206,A02060300,129689,12,20070824090000,http://tong.visitkorea.or.kr/cms/resource/12/220712_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/220712_image3_1.jpg,127.8247014622,36.5335608960,6,20220615162503,24030,3,,속리산조각공원,28908
충청북도 보은군 장안면 서원리,,33,0,A01,A0102,A01020100,129687,12,20070823090000,http://tong.visitkorea.or.kr/cms/resource/99/220599_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/220599_image3_1.jpg,127.8166120072,36.4800613160,6,20220518161118,22205,3,,보은 서원리 소나무,28912
충청북도 보은군 장안면 개안길 10-2,(장안면),33,0,A02,A0201,A02010400,129688,12,20070823090000,http://tong.visitkorea.or.kr/cms/resource/47/2517747_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/47/2517747_image2_1.jpg,127.7901841203,36.4689398869,6,20220721103047,30678,3,,보은 선병국가옥,28912
충청북도 보은군 속리산면,,33,0,A01,A0101,A01011800,129662,12,20070813090000,,,127.8442786562,36.4917410371,6,20220331155139,25929,3,,삼가저수지,28910
충청북도 보은군 속리산면 구병길 6,,33,0,A02,A0203,A02030100,128383,12,20050418090000,http://tong.visitkorea.or.kr/cms/resource/49/2517149_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/49/2517149_image2_1.jpg,127.8712876872,36.4798428886,6,20220404104715,29700,3,,구병리아름마을,28909
충청북도 보은군 법주사로 84 속리산국립공원관리사무소,,33,1,A01,A0101,A01010100,127465,12,20040213090000,http://tong.visitkorea.or.kr/cms/resource/04/2677704_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/04/2677704_image3_1.jpg,127.8172192478,36.5173848345,6,20220418083907,64753,3,,속리산국립공원(충북),28910
충청북도 보은군 보은읍 성주1길 104,,33,0,A02,A0201,A02010200,125989,12,20031106090000,,,127.7421489728,36.4887756376,6,20220524153229,25862,3,,보은 삼년산성,28938
충청북도 보은군 속리산면 만수길 136,,33,0,A01,A0101,A01010900,125829,12,20030929090000,http://tong.visitkorea.or.kr/cms/resource/45/2670745_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/45/2670745_image3_1.jpg,127.8678097879,36.4953410524,6,20220516135321,57251,3,,만수계곡,28909
충청북도 보은군 장안면 장안로 491-4,일대,33,0,A01,A0101,A01010900,127420,12,20030908090000,http://tong.visitkorea.or.kr/cms/resource/75/220575_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/220575_image3_1.jpg,127.7960167641,36.4750142979,6,20221017173721,48347,3,,서원계곡,28912
충청북도 보은군 마로면 적암리,,33,0,A01,A0101,A01010400,125827,12,20030407090000,http://tong.visitkorea.or.kr/cms/resource/89/1959689_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/89/1959689_image3_1.jpg,127.8621665585,36.4697910949,6,20220525101540,34918,3,,구병산,28964
충청북도 보은군 속리산면 법주사로 405,,33,1,A02,A0201,A02010800,125906,12,20021011090000,http://tong.visitkorea.or.kr/cms/resource/58/1731558_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/1731558_image3_1.jpg,127.8328782989,36.5410907383,6,20220506170542,77413,3,,보은 법주사[유네스코 세계문화유산],28908
충청북도 보은군 속리산면 상판리,,33,0,A01,A0102,A01020100,126009,12,20020513090000,http://tong.visitkorea.or.kr/cms/resource/80/220580_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/220580_image3_1.jpg,127.8154471804,36.5175125652,6,20220706174821,30121,3,,보은 속리 정이품송,28910
