addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode
충청북도 옥천군 동이면 안터1길 36,(동이면),33,0,A02,A0201,A02010700,1673608,12,20120718235002,http://tong.visitkorea.or.kr/cms/resource/56/1674656_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/1674656_image3_1.jpg,127.6189202366,36.3179651744,6,20220809100017,18134,5,,안터선사공원,29021
충청북도 옥천군 동이면 안터1길 36,,33,0,A02,A0205,A02050200,1673567,12,20120718231913,http://tong.visitkorea.or.kr/cms/resource/24/1674624_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/24/1674624_image3_1.jpg,127.6179036251,36.3192650067,6,20210928025353,18116,5,,옥천 석탄리 선돌,29021
충청북도 옥천군 청성면 장수로1길 79-1,(청성면),33,0,A02,A0203,A02030100,802472,12,20090914201830,,,127.7436036187,36.3157871061,6,20211009011926,18376,5,,옥천 장수마을,29018
충청북도 옥천군 군북면 석호리,,33,0,A02,A0201,A02010700,756476,12,20090623191750,http://tong.visitkorea.or.kr/cms/resource/34/2517934_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/2517934_image2_1.jpg,127.5909713406,36.3688171939,6,20210929200255,22764,5,,청풍정,29004
충청북도 옥천군 안남면 연주길 170,(안남면),33,0,A02,A0201,A02010700,756463,12,20090623191130,http://tong.visitkorea.or.kr/cms/resource/26/2517726_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/26/2517726_image2_1.jpg,127.6652819543,36.3475765104,6,20220726131315,20045,5,,옥천 독락정,29010
충청북도 옥천군 청성면 고당로1길,,33,0,A02,A0203,A02030100,756456,12,20090623190415,http://tong.visitkorea.or.kr/cms/resource/36/758436_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/36/758436_image3_1.jpg,127.7027969972,36.2847454728,6,20220317165728,19680,5,,높은벌,29019
충청북도 옥천군 군북면 이백6길 126,(군북면),33,0,A02,A0201,A02010700,753420,12,20090616191831,http://tong.visitkorea.or.kr/cms/resource/24/1596724_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/24/1596724_image3_1.jpg,127.5558922131,36.3295654979,6,20220826145849,21599,5,,옥천 이지당,29003
충청북도 옥천군 청성면 도장1길 33,,33,0,A02,A0201,A02010800,309292,12,20071130180437,,,127.7312196422,36.3792768519,6,20220715113306,18459,5,,문수암(옥천),29008
충청북도 옥천군 이원면 강청길 36-9,,33,0,A02,A0201,A02010800,300078,12,20071128225203,,,127.6136837878,36.2456816692,6,20220916111621,22076,5,,대성사(이원),29061
충청북도 옥천군 옥천읍 지용로 142,,33,0,A02,A0201,A02010800,300077,12,20071128224831,http://tong.visitkorea.or.kr/cms/resource/21/2726321_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/2726321_image2_1.jpg,127.5907283417,36.3167481418,6,20221024161833,21348,5,,대성사(옥천),29027
충청북도 옥천군 상중길 226 문화재(전통사찰-구절사),,33,0,A02,A0201,A02010800,298095,12,20071127220600,,,127.5002172964,36.3050950795,6,20220425161839,19158,5,,구절사,29058
충청북도 옥천군 안내면 안내회남로 671,,33,0,A02,A0201,A02010800,294369,12,20071126234108,,,127.5973920906,36.4015885618,6,20220412105658,19158,5,,가산사,29005
충청북도 옥천군 옥천읍 삼청2길 400,,33,0,A02,A0201,A02010800,125890,12,20031105090000,http://tong.visitkorea.or.kr/cms/resource/21/2622321_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/2622321_image3_1.jpg,127.5643100451,36.2592375721,6,20221114091038,35064,5,,용암사(옥천),29053
충청북도 옥천군 옥천읍 향수길 56,,33,0,A02,A0201,A02010500,127281,12,20031105090000,http://tong.visitkorea.or.kr/cms/resource/12/2622312_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/2622312_image3_1.jpg,127.5821652630,36.3150731793,6,20220620181957,40997,5,,정지용 생가,29030
충청북도 옥천군 장령산로 519,,33,0,A01,A0101,A01010600,127534,12,20031105090000,http://tong.visitkorea.or.kr/cms/resource/86/2721486_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/86/2721486_image2_1.JPG,127.5530058643,36.2457611314,6,20220404175709,45389,5,,"장령산자연휴양림(구, 장용산자연휴양림)",29059
충청북도 옥천군 동이면 금강로 596,,33,0,A02,A0202,A02020100,127618,12,20031105090000,http://tong.visitkorea.or.kr/cms/resource/04/876904_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/04/876904_image3_1.jpg,127.6737219567,36.2794511106,6,20220516172225,30895,5,,금강유원지,29022
충청북도 옥천군 동이면 안터1길 36,,33,0,A02,A0201,A02010700,125955,12,20020513090000,,,127.6186618954,36.3191011500,6,20220525152411,20096,5,,옥천 석탄리 고인돌,29021
충청북도 옥천군 안내면 도이길 42,(안내면),33,0,A02,A0201,A02010700,125958,12,20020513090000,http://tong.visitkorea.or.kr/cms/resource/29/1596729_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/1596729_image3_1.jpg,127.6718826328,36.4025203482,6,20221013174131,21923,5,,옥천 후율당,29007
