rnum,code,name
1,1,강서구
2,2,금정구
3,3,기장군
4,4,남구
5,5,동구
6,6,동래구
7,7,부산진구
8,8,북구
9,9,사상구
10,10,사하구
11,11,서구
12,12,수영구
13,13,연제구
14,14,영도구
15,15,중구
16,16,해운대구
