rnum,code,name
1,1,강릉시
2,2,고성군
3,3,동해시
4,4,삼척시
5,5,속초시
6,6,양구군
7,7,양양군
8,8,영월군
9,9,원주시
10,10,인제군
11,11,정선군
12,12,철원군
13,13,춘천시
14,14,태백시
15,15,평창군
16,16,홍천군
17,17,화천군
18,18,횡성군
