rnum,code,name
1,1,거제시
2,2,거창군
3,3,고성군
4,4,김해시
5,5,남해군
6,6,마산시
7,7,밀양시
8,8,사천시
9,9,산청군
10,10,양산시
11,12,의령군
12,13,진주시
13,14,진해시
14,15,창녕군
15,16,창원시
16,17,통영시
17,18,하동군
18,19,함안군
19,20,함양군
20,21,합천군
