rnum,code,name
1,1,고창군
2,2,군산시
3,3,김제시
4,4,남원시
5,5,무주군
6,6,부안군
7,7,순창군
8,8,완주군
9,9,익산시
10,10,임실군
11,11,장수군
12,12,전주시
13,13,정읍시
14,14,진안군
