rnum,code,name
1,1,공주시
2,2,금산군
3,3,논산시
4,4,당진시
5,5,보령시
6,6,부여군
7,7,서산시
8,8,서천군
9,9,아산시
10,11,예산군
11,12,천안시
12,13,청양군
13,14,태안군
14,15,홍성군
15,16,계룡시
