rnum,code,name
1,1,강남구
2,2,강동구
3,3,강북구
4,4,강서구
5,5,관악구
6,6,광진구
7,7,구로구
8,8,금천구
9,9,노원구
10,10,도봉구
11,11,동대문구
12,12,동작구
13,13,마포구
14,14,서대문구
15,15,서초구
16,16,성동구
17,17,성북구
18,18,송파구
19,19,양천구
20,20,영등포구
21,21,용산구
22,22,은평구
23,23,종로구
24,24,중구
25,25,중랑구
