rnum,code,name
1,1,강진군
2,2,고흥군
3,3,곡성군
4,4,광양시
5,5,구례군
6,6,나주시
7,7,담양군
8,8,목포시
9,9,무안군
10,10,보성군
11,11,순천시
12,12,신안군
13,13,여수시
14,16,영광군
15,17,영암군
16,18,완도군
17,19,장성군
18,20,장흥군
19,21,진도군
20,22,함평군
21,23,해남군
22,24,화순군
