rnum,code,name
1,1,경산시
2,2,경주시
3,3,고령군
4,4,구미시
5,5,군위군
6,6,김천시
7,7,문경시
8,8,봉화군
9,9,상주시
10,10,성주군
11,11,안동시
12,12,영덕군
13,13,영양군
14,14,영주시
15,15,영천시
16,16,예천군
17,17,울릉군
18,18,울진군
19,19,의성군
20,20,청도군
21,21,청송군
22,22,칠곡군
23,23,포항시
