addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode
전라남도 화순군 동복면 독상리,,38,0,A02,A0205,A02050200,742561,12,20090527231658,http://tong.visitkorea.or.kr/cms/resource/97/742297_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/742297_image3_1.jpg,127.1298826317,35.0644961011,6,20210818024735,16399,24,,화순동복남덕원비,58102
전라남도 화순군 동복면,,38,0,A02,A0205,A02050200,742556,12,20090527230919,http://tong.visitkorea.or.kr/cms/resource/97/742097_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/742097_image3_1.jpg,127.1280437461,35.0708148019,6,20220930105803,16340,24,,독상리석등,58102
전라남도 화순군 동복면 탑동길 21-23,,38,0,A02,A0205,A02050200,742551,12,20090527230037,http://tong.visitkorea.or.kr/cms/resource/92/742292_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/742292_image3_1.jpg,127.1285349996,35.0854992660,6,20220804104557,15886,24,,한산사지삼층석탑,58102
전라남도 화순군 도곡면 달아실길 24,,38,0,A02,A0201,A02010400,252559,12,20071031090000,http://tong.visitkorea.or.kr/cms/resource/19/742219_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/742219_image3_1.jpg,126.9114955646,34.9843792101,6,20220722132426,19374,24,,화순양동호가옥,58154
전라남도 화순군 이양면 쌍산의로 459,,38,0,A02,A0205,A02050200,250389,12,20071025090000,,,127.0606598252,34.8876259521,6,20220617140709,17665,24,,화순 쌍봉사 철감선사탑,58165
전라남도 화순군 화순읍 벽라리,,38,0,A02,A0205,A02050200,231903,12,20071005090000,,,126.9694721248,35.0508615833,6,20220728112204,20761,24,,화순대리석불입상,58149
전라남도 화순군 화순읍 만수길 42,,38,0,A02,A0203,A02030100,129368,12,20061113090000,http://tong.visitkorea.or.kr/cms/resource/11/2516311_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/2516311_image2_1.jpg,127.0035790355,35.0983845794,6,20210812201654,26346,24,,화순 수만리들국화마을,58104
전라남도 화순군 이서면 물염로,(이서면) 일원,38,0,A01,A0102,A01020200,128991,12,20060602090000,http://tong.visitkorea.or.kr/cms/resource/32/186832_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/186832_image3_1.jpg,127.1075356983,35.1312687471,6,20220406153908,20510,24,,물염적벽,58103
전라남도 화순군 화순읍 진각로,(수만리),38,0,A01,A0101,A01010400,128990,12,20060601090000,http://tong.visitkorea.or.kr/cms/resource/99/2604599_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/2604599_image3_1.jpg,126.9950576668,35.0943293368,6,20220516174900,24622,24,,만연산,58105
전라남도 화순군 동면 충의로 409,,38,0,A02,A0201,A02010700,128983,12,20060529090000,http://tong.visitkorea.or.kr/cms/resource/26/186926_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/26/186926_image3_1.jpg,127.0113048757,35.0376304494,6,20220607155816,18133,24,,충의사(최경회장군),58133
전라남도 화순군 이서면 야사은행나무길 7,(이서면),38,0,A01,A0102,A01020100,128984,12,20060529090000,,,127.0778610558,35.1107899966,6,20210825032351,22019,24,,화순 야사리 은행나무,58103
전라남도 화순군 이서면 물염로 161,,38,0,A02,A0201,A02010700,127345,12,20040227090000,http://tong.visitkorea.or.kr/cms/resource/34/194134_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/194134_image3_1.jpg,127.1061691399,35.1317353379,6,20220524173235,19791,24,,물염정,58103
전라남도 화순군 동면 백천로 236-1,,38,0,A02,A0201,A02010700,127346,12,20040227090000,http://tong.visitkorea.or.kr/cms/resource/72/2706272_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/2706272_image2_1.jpg,127.0358245258,35.0539679121,6,20220321134746,19287,24,,환산정(環山亭),58133
전라남도 화순군 능주면,,38,0,A02,A0201,A02010700,127349,12,20040227090000,http://tong.visitkorea.or.kr/cms/resource/75/742075_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/742075_image3_1.jpg,126.9631189626,34.9773642040,6,20211109014948,17542,24,,화순능주삼충각,58153
전라남도 화순군 능주면 교촌길 36,,38,0,A02,A0201,A02010700,127351,12,20040227090000,,,126.9516141166,34.9896404046,6,20210915030041,18329,24,,능주향교,58153
전라남도 화순군 동복면 월송길 62-30,,38,0,A02,A0201,A02010700,127352,12,20040227090000,,,127.1196888047,35.0756835551,6,20220711170029,17289,24,,동복향교,58102
전라남도 화순군 연곡길 137 도원서원,,38,0,A02,A0201,A02010700,127354,12,20040227090000,http://tong.visitkorea.or.kr/cms/resource/87/742087_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/742087_image3_1.jpg,127.1207469023,35.0813523785,6,20220613100521,17311,24,,도원서원,58102
전라남도 화순군 사평면 상사1길 48,,38,0,A02,A0201,A02010700,126978,12,20040211090000,http://tong.visitkorea.or.kr/cms/resource/32/2720132_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/2720132_image2_1.jpg,127.1196935684,34.9966563482,6,20220530171955,17663,24,,임대정원림,58144
전라남도 화순군 이양면 강정길 68,"(이양면,송석정)",38,0,A02,A0202,A02020100,127344,12,20031209090000,http://tong.visitkorea.or.kr/cms/resource/41/2516341_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/41/2516341_image2_1.jpg,126.9896870665,34.9371330717,6,20220401161613,18380,24,,송석정유원지,58164
전라남도 화순군 백아면 백아로 2080,,38,0,A01,A0102,A01020200,127191,12,20031114090000,http://tong.visitkorea.or.kr/cms/resource/23/1608223_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/1608223_image3_1.jpg,127.0906362225,35.1695863575,6,20221117173941,28030,24,,화순 서유리 공룡발자국화석 산지,58100
전라남도 화순군 이양면 쌍산의로 459,(이양면),38,0,A02,A0201,A02010800,126358,12,20031107090000,http://tong.visitkorea.or.kr/cms/resource/65/1784565_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/65/1784565_image3_1.jpg,127.0598543477,34.8873204173,6,20220726094420,26112,24,,쌍봉사(화순),58165
전라남도 화순군 도암면 천태로 91-44,(도암면),38,1,A02,A0201,A02010800,126359,12,20031107090000,http://tong.visitkorea.or.kr/cms/resource/95/2604595_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/95/2604595_image3_1.jpg,126.8804275401,34.9255908663,6,20220617111017,42731,24,,운주사,58158
전라남도 화순군 백아면 수양로 353,,38,0,A01,A0101,A01010600,127478,12,20031107090000,http://tong.visitkorea.or.kr/cms/resource/15/1608215_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/1608215_image3_1.jpg,127.1787786835,35.1600250519,6,20220907175330,49780,24,,백아산자연휴양림,58101
전라남도 화순군 화순읍 진각로 87,(화순읍),38,0,A02,A0202,A02020100,127355,12,20031105090000,http://tong.visitkorea.or.kr/cms/resource/96/1970896_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/1970896_image3_1.jpg,126.9849483300,35.0591275802,6,20220310095408,23103,24,,남산공원(화순),58122
전라남도 화순군 사평면 유마로 603,,38,0,A02,A0201,A02010800,127145,12,20031029090000,http://tong.visitkorea.or.kr/cms/resource/83/1608183_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/1608183_image3_1.jpg,127.1714551192,35.0187769597,6,20220920172728,20359,24,,유마사,58146
전라남도 화순군 화순읍 진각로 367,(화순읍),38,0,A02,A0201,A02010800,127146,12,20031028090000,http://tong.visitkorea.or.kr/cms/resource/36/186136_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/36/186136_image3_1.jpg,126.9850754998,35.0829693382,6,20220513173123,21291,24,,만연사(화순),58105
전라남도 화순군 이서면 도원길 40-28,(이서면),38,0,A02,A0201,A02010800,127347,12,20031027090000,,,127.0176384187,35.1177548542,6,20221111150238,22571,24,,규봉암(화순),58103
전라남도 화순군 춘양면 변천길 389,,38,0,A02,A0201,A02010800,127147,12,20031024090000,http://tong.visitkorea.or.kr/cms/resource/46/1608446_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/46/1608446_image3_1.jpg,126.9153916468,34.9044716088,6,20220607144014,19395,24,,개천사,58159
전라남도 화순군 도곡면 온천1길 45,(도곡면),38,0,A02,A0202,A02020300,127932,12,20031022090000,http://tong.visitkorea.or.kr/cms/resource/29/186129_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/186129_image3_1.jpg,126.9033118398,35.0291490268,6,20220518163253,30982,24,,도곡원네스 리조트,58148
전라남도 화순군 화순읍 유천리,,38,0,A01,A0101,A01010800,127187,12,20030925090000,,,127.0011132091,35.0735401173,6,20221117145822,25357,24,,만연폭포,58105
전라남도 화순군 화순읍 교동2길 14,,38,0,A02,A0201,A02010700,127661,12,20030630090000,,,126.9828178072,35.0653407322,6,20221024165741,18011,24,,화순향교,58111
전라남도 화순군 사평면 유마로,,38,0,A01,A0101,A01010400,127849,12,20030627090000,,,127.1816538787,35.0323533824,6,20220920131423,30860,24,,모후산,58146
전라남도 화순군 이서면 안양산로 685,,38,0,A01,A0101,A01010600,126966,12,20030616090000,http://tong.visitkorea.or.kr/cms/resource/50/2644350_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/50/2644350_image2_1.JPG,127.0274076507,35.0918746064,6,20220321162451,66077,24,061-373-2065,무등산편백자연휴양림(안양산자연휴양림),58103
전라남도 화순군 백아면 용촌길,(용곡리),38,0,A01,A0101,A01010400,126244,12,20030512090000,http://tong.visitkorea.or.kr/cms/resource/17/1608217_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/1608217_image3_1.jpg,127.1571524997,35.1724371708,6,20220613135141,36372,24,,백아산,58101
전남 화순군 이서면,", 광주광역시 동구, 북구, 담양군 남면 일대",38,0,A01,A0101,A01010400,127143,12,20030512090000,,,127.0085557207,35.1244011725,6,20221108174729,65977,24,061-379-3503,무등산,"519-800,1"
전라남도 화순군 한천면 용암길 149,,38,0,A01,A0101,A01010400,127144,12,20030512090000,,,127.0020213624,34.9663744318,6,20210914230610,20174,24,,용암산,58147
전라남도 화순군 청풍면 화산길,,38,0,A01,A0101,A01010400,127335,12,20030512090000,,,126.9409791554,34.8691537915,6,20210830203154,26739,24,,화학산,58162
전라남도 화순군 이서면,(장학리) 일대,38,0,A01,A0101,A01010400,127340,12,20030512090000,,,127.1326894339,35.1154209628,6,20220915153138,22490,24,,옹성산,58102
전라남도 화순군 한천면 죽헌로 719,,38,0,A01,A0101,A01010600,127164,12,20030407090000,http://tong.visitkorea.or.kr/cms/resource/75/607575_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/607575_image3_1.jpg,127.0384091912,34.9916333134,6,20220706153343,41391,24,,한천자연휴양림,58147
전라남도 화순군 도곡면 효산리 64,일대,38,0,A02,A0201,A02010700,127190,12,20020612090000,http://tong.visitkorea.or.kr/cms/resource/03/2515703_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/2515703_image2_1.jpg,126.9178560502,34.9869568050,6,20220517135223,35013,24,,화순 고인돌군 유적 [유네스코 세계문화유산],58154
전라남도 화순군 이양면 강정길 68,,38,0,A02,A0201,A02010700,127443,12,20020611090000,http://tong.visitkorea.or.kr/cms/resource/94/2516294_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/2516294_image2_1.jpg,126.9904815535,34.9326113716,6,20221201160806,16414,24,,송석정,58164
전라남도 화순군 이서면 적벽로 630-1,,38,0,A01,A0101,A01010500,126946,12,20020513090000,http://tong.visitkorea.or.kr/cms/resource/28/186328_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/28/186328_image3_1.jpg,127.1062774676,35.1315936885,6,20220621104436,37423,24,,화순적벽,58103
전라남도 화순군 이양면 쌍봉길 74-3,,38,0,A02,A0201,A02010700,126977,12,20020513090000,,,127.0410591279,34.8733494490,6,20220620173623,20332,24,,학포당,58165
전라남도 화순군 능주면 학포로 1922-53,(능주면),38,0,A02,A0201,A02010700,126979,12,20020513090000,http://tong.visitkorea.or.kr/cms/resource/57/186157_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/57/186157_image3_1.jpg,126.9649850688,34.9932791089,6,20220623104839,22565,24,,영벽정,58153
전라남도 화순군 한천면 학포로 1786-45,,38,0,A02,A0201,A02010700,127148,12,20020513090000,,,126.9727040319,34.9852829176,6,20221202110849,18575,24,,죽수서원,58147
전라남도 화순군 능주면 정암길 30,,38,0,A02,A0205,A02050200,127189,12,20020513090000,,,126.9534860846,34.9932178109,6,20220422113008,20687,24,,화순 정암 조광조선생 적려 유허비,58153
전라남도 화순군 화순읍 다산길 55,,38,0,A02,A0201,A02010700,127348,12,20020513090000,http://tong.visitkorea.or.kr/cms/resource/82/742282_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/82/742282_image3_1.jpg,126.9972613246,35.0514286563,6,20220714140457,6850,24,,최경회사당,58133
전라남도 화순군 화순읍 한고을길 16,,38,0,A02,A0201,A02010700,127350,12,20020513090000,,,126.9749854093,35.0556000315,6,20220908161858,21047,24,,대리칠충각,58138
전라남도 화순군 춘양면 섶메길 37-1,,38,0,A02,A0201,A02010700,127353,12,20020513090000,http://tong.visitkorea.or.kr/cms/resource/19/2515919_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/2515919_image2_1.jpg,126.9403547584,34.9590769913,6,20220523174054,24634,24,,해망서원,58157
전라남도 화순군 백아면 복조리길 27,,38,0,A02,A0201,A02010600,127034,12,20020506090000,http://tong.visitkorea.or.kr/cms/resource/97/2515997_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/2515997_image2_1.jpg,127.1570881864,35.1894019218,6,20220324175821,29191,24,,화순 복조리마을,58100
